Thread,Positivity Scores
1,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}"
2,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.9377}"
3,"{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.7088}"
4,"{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.4199}"
5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.7783}"
7,"{'neg': 0.039, 'neu': 0.747, 'pos': 0.214, 'compound': 0.9463}"
8,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,"{'neg': 0.029, 'neu': 0.877, 'pos': 0.094, 'compound': 0.6369}"
10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,"{'neg': 0.163, 'neu': 0.746, 'pos': 0.091, 'compound': -0.3818}"
13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,"{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.296}"
15,"{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.6486}"
16,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.97}"
17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4019}"
19,"{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.4871}"
20,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
21,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.4926}"
22,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
24,"{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.8098}"
25,"{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.4767}"
26,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
27,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}"
28,"{'neg': 0.056, 'neu': 0.864, 'pos': 0.079, 'compound': 0.2406}"
29,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
30,"{'neg': 0.092, 'neu': 0.717, 'pos': 0.191, 'compound': 0.4404}"
31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
32,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
33,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.6908}"
34,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.0772}"
35,"{'neg': 0.045, 'neu': 0.882, 'pos': 0.073, 'compound': -0.0644}"
36,"{'neg': 0.1, 'neu': 0.845, 'pos': 0.056, 'compound': -0.5438}"
37,"{'neg': 0.129, 'neu': 0.702, 'pos': 0.17, 'compound': 0.1779}"
38,"{'neg': 0.042, 'neu': 0.934, 'pos': 0.024, 'compound': -0.2244}"
39,"{'neg': 0.0, 'neu': 0.946, 'pos': 0.054, 'compound': 0.9307}"
40,"{'neg': 0.117, 'neu': 0.813, 'pos': 0.07, 'compound': -0.3291}"
41,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
42,"{'neg': 0.0, 'neu': 0.968, 'pos': 0.032, 'compound': 0.3595}"
43,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
44,"{'neg': 0.049, 'neu': 0.83, 'pos': 0.121, 'compound': 0.7545}"
45,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
46,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
47,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.25}"
48,"{'neg': 0.031, 'neu': 0.897, 'pos': 0.072, 'compound': 0.4199}"
49,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.6808}"
50,"{'neg': 0.027, 'neu': 0.828, 'pos': 0.145, 'compound': 0.8074}"
51,"{'neg': 0.078, 'neu': 0.849, 'pos': 0.074, 'compound': 0.0}"
52,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
53,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
54,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
55,"{'neg': 0.0, 'neu': 0.967, 'pos': 0.033, 'compound': 0.1154}"
