Thread,Positivity Scores
1,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.6652}"
2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,"{'neg': 0.036, 'neu': 0.914, 'pos': 0.049, 'compound': -0.0708}"
4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.4767}"
7,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.4767}"
8,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.0772}"
9,"{'neg': 0.056, 'neu': 0.847, 'pos': 0.097, 'compound': 0.7985}"
10,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.4588}"
11,"{'neg': 0.06, 'neu': 0.849, 'pos': 0.091, 'compound': -0.0926}"
12,"{'neg': 0.076, 'neu': 0.924, 'pos': 0.0, 'compound': -0.2023}"
13,"{'neg': 0.058, 'neu': 0.909, 'pos': 0.033, 'compound': -0.5346}"
14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,"{'neg': 0.175, 'neu': 0.739, 'pos': 0.085, 'compound': -0.4398}"
17,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.5574}"
18,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1779}"
19,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.555}"
20,"{'neg': 0.223, 'neu': 0.711, 'pos': 0.066, 'compound': -0.4767}"
21,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.8537}"
22,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.1139}"
