Thread,Positivity Scores
1,"{'neg': 0.028, 'neu': 0.936, 'pos': 0.035, 'compound': 0.1027}"
2,"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}"
3,"{'neg': 0.024, 'neu': 0.964, 'pos': 0.012, 'compound': -0.3551}"
4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.5423}"
6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.4215}"
9,"{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.4329}"
10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4019}"
13,"{'neg': 0.188, 'neu': 0.602, 'pos': 0.211, 'compound': 0.0772}"
14,"{'neg': 0.027, 'neu': 0.932, 'pos': 0.041, 'compound': 0.2148}"
15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,"{'neg': 0.112, 'neu': 0.756, 'pos': 0.133, 'compound': -0.2755}"
17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.8205}"
19,"{'neg': 0.071, 'neu': 0.765, 'pos': 0.165, 'compound': 0.4939}"
20,"{'neg': 0.0, 'neu': 0.983, 'pos': 0.017, 'compound': 0.0772}"
21,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}"
22,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.3612}"
24,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}"
25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
26,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}"
27,"{'neg': 0.031, 'neu': 0.846, 'pos': 0.124, 'compound': 0.8398}"
28,"{'neg': 0.07, 'neu': 0.737, 'pos': 0.193, 'compound': 0.7579}"
29,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.8885}"
30,"{'neg': 0.045, 'neu': 0.88, 'pos': 0.075, 'compound': 0.296}"
31,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.3612}"
32,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.296}"
33,"{'neg': 0.071, 'neu': 0.885, 'pos': 0.044, 'compound': 0.1615}"
34,"{'neg': 0.132, 'neu': 0.868, 'pos': 0.0, 'compound': -0.782}"
35,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.3612}"
36,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
37,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
38,"{'neg': 0.0, 'neu': 0.946, 'pos': 0.054, 'compound': 0.3182}"
39,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
40,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.0772}"
41,"{'neg': 0.0, 'neu': 0.928, 'pos': 0.072, 'compound': 0.7777}"
42,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.4767}"
43,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
44,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
45,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
