Thread,Positivity Scores
1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,"{'neg': 0.04, 'neu': 0.822, 'pos': 0.138, 'compound': 0.6237}"
4,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
5,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.8066}"
6,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.5267}"
7,"{'neg': 0.096, 'neu': 0.819, 'pos': 0.085, 'compound': -0.0772}"
8,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,"{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.4754}"
10,"{'neg': 0.085, 'neu': 0.881, 'pos': 0.034, 'compound': -0.6199}"
11,"{'neg': 0.139, 'neu': 0.614, 'pos': 0.247, 'compound': 0.769}"
12,"{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.4215}"
13,"{'neg': 0.0, 'neu': 0.835, 'pos': 0.165, 'compound': 0.9513}"
14,"{'neg': 0.135, 'neu': 0.749, 'pos': 0.116, 'compound': -0.2414}"
15,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.4767}"
16,"{'neg': 0.023, 'neu': 0.904, 'pos': 0.073, 'compound': 0.5994}"
17,"{'neg': 0.069, 'neu': 0.931, 'pos': 0.0, 'compound': -0.1779}"
18,"{'neg': 0.0, 'neu': 0.967, 'pos': 0.033, 'compound': 0.3612}"
19,"{'neg': 0.353, 'neu': 0.647, 'pos': 0.0, 'compound': -0.8316}"
20,"{'neg': 0.069, 'neu': 0.931, 'pos': 0.0, 'compound': -0.1779}"
21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
22,"{'neg': 0.095, 'neu': 0.8, 'pos': 0.105, 'compound': 0.0372}"
23,"{'neg': 0.127, 'neu': 0.873, 'pos': 0.0, 'compound': -0.1531}"
24,"{'neg': 0.105, 'neu': 0.762, 'pos': 0.133, 'compound': 0.4391}"
25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
26,"{'neg': 0.0, 'neu': 0.972, 'pos': 0.028, 'compound': 0.0772}"
27,"{'neg': 0.0, 'neu': 0.373, 'pos': 0.627, 'compound': 0.8126}"
28,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
29,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
