Thread,Positivity Scores
1,"{'neg': 0.07, 'neu': 0.93, 'pos': 0.0, 'compound': -0.2912}"
2,"{'neg': 0.0, 'neu': 0.908, 'pos': 0.092, 'compound': 0.872}"
3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,"{'neg': 0.0, 'neu': 0.954, 'pos': 0.046, 'compound': 0.0772}"
5,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.5719}"
6,"{'neg': 0.063, 'neu': 0.865, 'pos': 0.072, 'compound': 0.0772}"
7,"{'neg': 0.039, 'neu': 0.929, 'pos': 0.032, 'compound': -0.2263}"
8,"{'neg': 0.02, 'neu': 0.844, 'pos': 0.136, 'compound': 0.8422}"
9,"{'neg': 0.025, 'neu': 0.877, 'pos': 0.098, 'compound': 0.8171}"
10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,"{'neg': 0.108, 'neu': 0.827, 'pos': 0.064, 'compound': -0.516}"
12,"{'neg': 0.026, 'neu': 0.932, 'pos': 0.042, 'compound': 0.2909}"
13,"{'neg': 0.028, 'neu': 0.956, 'pos': 0.015, 'compound': -0.1877}"
14,"{'neg': 0.116, 'neu': 0.827, 'pos': 0.056, 'compound': -0.6759}"
15,"{'neg': 0.056, 'neu': 0.855, 'pos': 0.089, 'compound': 0.5785}"
16,"{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.3182}"
17,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.4522}"
18,"{'neg': 0.0, 'neu': 0.976, 'pos': 0.024, 'compound': 0.0387}"
19,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
20,"{'neg': 0.085, 'neu': 0.915, 'pos': 0.0, 'compound': -0.4019}"
21,"{'neg': 0.059, 'neu': 0.921, 'pos': 0.02, 'compound': -0.3818}"
22,"{'neg': 0.061, 'neu': 0.883, 'pos': 0.057, 'compound': -0.0772}"
23,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.9476}"
24,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
25,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}"
26,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
27,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.4939}"
28,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
29,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
30,"{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.9042}"
31,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.5994}"
32,"{'neg': 0.0, 'neu': 0.932, 'pos': 0.068, 'compound': 0.4404}"
33,"{'neg': 0.0, 'neu': 0.944, 'pos': 0.056, 'compound': 0.1406}"
34,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
36,"{'neg': 0.067, 'neu': 0.885, 'pos': 0.048, 'compound': -0.1779}"
37,"{'neg': 0.089, 'neu': 0.72, 'pos': 0.191, 'compound': 0.8815}"
38,"{'neg': 0.0, 'neu': 0.932, 'pos': 0.068, 'compound': 0.5514}"
39,"{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4023}"
40,"{'neg': 0.058, 'neu': 0.826, 'pos': 0.116, 'compound': 0.6249}"
41,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}"
42,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
43,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
44,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.3818}"
45,"{'neg': 0.084, 'neu': 0.894, 'pos': 0.022, 'compound': -0.7165}"
46,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
47,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}"
48,"{'neg': 0.084, 'neu': 0.877, 'pos': 0.039, 'compound': -0.4783}"
49,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
50,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
51,"{'neg': 0.093, 'neu': 0.861, 'pos': 0.046, 'compound': -0.3421}"
52,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
53,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
54,"{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.3182}"
55,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
56,"{'neg': 0.053, 'neu': 0.873, 'pos': 0.075, 'compound': -0.5187}"
57,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
58,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
59,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
60,"{'neg': 0.131, 'neu': 0.674, 'pos': 0.195, 'compound': 0.1779}"
61,"{'neg': 0.032, 'neu': 0.836, 'pos': 0.132, 'compound': 0.9355}"
62,"{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.2263}"
63,"{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.4767}"
64,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
65,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
66,"{'neg': 0.156, 'neu': 0.39, 'pos': 0.455, 'compound': 0.5574}"
67,"{'neg': 0.035, 'neu': 0.887, 'pos': 0.078, 'compound': 0.4155}"
68,"{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.814}"
