Thread,Positivity Scores
1,"{'neg': 0.125, 'neu': 0.875, 'pos': 0.0, 'compound': -0.631}"
2,"{'neg': 0.14, 'neu': 0.743, 'pos': 0.117, 'compound': -0.292}"
3,"{'neg': 0.137, 'neu': 0.785, 'pos': 0.078, 'compound': -0.4862}"
4,"{'neg': 0.26, 'neu': 0.74, 'pos': 0.0, 'compound': -0.2062}"
5,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.7841}"
6,"{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.296}"
7,"{'neg': 0.0, 'neu': 0.947, 'pos': 0.053, 'compound': 0.533}"
8,"{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.7964}"
9,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.9153}"
11,"{'neg': 0.037, 'neu': 0.916, 'pos': 0.047, 'compound': 0.128}"
12,"{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.2755}"
13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.9109}"
15,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.1901}"
16,"{'neg': 0.117, 'neu': 0.795, 'pos': 0.088, 'compound': 0.0772}"
17,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}"
18,"{'neg': 0.0, 'neu': 0.971, 'pos': 0.029, 'compound': 0.0772}"
19,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
20,"{'neg': 0.031, 'neu': 0.917, 'pos': 0.052, 'compound': 0.516}"
21,"{'neg': 0.063, 'neu': 0.937, 'pos': 0.0, 'compound': -0.3182}"
22,"{'neg': 0.212, 'neu': 0.788, 'pos': 0.0, 'compound': -0.7184}"
23,"{'neg': 0.083, 'neu': 0.847, 'pos': 0.07, 'compound': -0.2244}"
24,"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.1655}"
25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
26,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.6369}"
27,"{'neg': 0.024, 'neu': 0.718, 'pos': 0.258, 'compound': 0.966}"
