Thread,Positivity Scores
1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,"{'neg': 0.011, 'neu': 0.903, 'pos': 0.086, 'compound': 0.8559}"
3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,"{'neg': 0.191, 'neu': 0.773, 'pos': 0.035, 'compound': -0.85}"
5,"{'neg': 0.056, 'neu': 0.782, 'pos': 0.162, 'compound': 0.6341}"
6,"{'neg': 0.125, 'neu': 0.811, 'pos': 0.064, 'compound': -0.6486}"
7,"{'neg': 0.048, 'neu': 0.79, 'pos': 0.162, 'compound': 0.8883}"
8,"{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.1406}"
9,"{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.6355}"
10,"{'neg': 0.136, 'neu': 0.777, 'pos': 0.087, 'compound': -0.128}"
11,"{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.7351}"
12,"{'neg': 0.0, 'neu': 0.547, 'pos': 0.453, 'compound': 0.9391}"
13,"{'neg': 0.049, 'neu': 0.716, 'pos': 0.235, 'compound': 0.9575}"
14,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}"
15,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.296}"
16,"{'neg': 0.136, 'neu': 0.718, 'pos': 0.146, 'compound': 0.1007}"
17,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4588}"
18,"{'neg': 0.102, 'neu': 0.81, 'pos': 0.088, 'compound': -0.2006}"
19,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.3919}"
20,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.0772}"
21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
22,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,"{'neg': 0.114, 'neu': 0.743, 'pos': 0.143, 'compound': 0.128}"
24,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
26,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
27,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.5719}"
28,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
29,"{'neg': 0.141, 'neu': 0.767, 'pos': 0.092, 'compound': -0.4215}"
30,"{'neg': 0.049, 'neu': 0.913, 'pos': 0.038, 'compound': -0.1462}"
31,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.5859}"
32,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
33,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
34,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.4939}"
35,"{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.2598}"
36,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4019}"
37,"{'neg': 0.0, 'neu': 0.972, 'pos': 0.028, 'compound': 0.6956}"
38,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
39,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}"
40,"{'neg': 0.0, 'neu': 0.943, 'pos': 0.057, 'compound': 0.1901}"
41,"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.4871}"
42,"{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.4329}"
43,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.5994}"
44,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
45,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.3506}"
46,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}"
47,"{'neg': 0.057, 'neu': 0.834, 'pos': 0.108, 'compound': 0.2406}"
48,"{'neg': 0.0, 'neu': 0.949, 'pos': 0.051, 'compound': 0.4019}"
49,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.7929}"
50,"{'neg': 0.041, 'neu': 0.844, 'pos': 0.114, 'compound': 0.4389}"
51,"{'neg': 0.105, 'neu': 0.736, 'pos': 0.16, 'compound': 0.4329}"
52,"{'neg': 0.024, 'neu': 0.847, 'pos': 0.129, 'compound': 0.9561}"
53,"{'neg': 0.058, 'neu': 0.761, 'pos': 0.18, 'compound': 0.666}"
54,"{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.3089}"
55,"{'neg': 0.102, 'neu': 0.876, 'pos': 0.021, 'compound': -0.7082}"
56,"{'neg': 0.153, 'neu': 0.77, 'pos': 0.077, 'compound': -0.4329}"
57,"{'neg': 0.038, 'neu': 0.921, 'pos': 0.041, 'compound': 0.0258}"
58,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
59,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
60,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
61,"{'neg': 0.253, 'neu': 0.619, 'pos': 0.129, 'compound': -0.34}"
62,"{'neg': 0.044, 'neu': 0.894, 'pos': 0.063, 'compound': 0.4018}"
63,"{'neg': 0.052, 'neu': 0.873, 'pos': 0.075, 'compound': 0.0147}"
64,"{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.7339}"
65,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
66,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.5994}"
67,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
68,"{'neg': 0.162, 'neu': 0.702, 'pos': 0.136, 'compound': -0.1431}"
69,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
70,"{'neg': 0.065, 'neu': 0.935, 'pos': 0.0, 'compound': -0.4019}"
71,"{'neg': 0.0, 'neu': 0.438, 'pos': 0.562, 'compound': 0.8402}"
72,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
73,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
74,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
75,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
76,"{'neg': 0.057, 'neu': 0.943, 'pos': 0.0, 'compound': -0.4019}"
77,"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.6705}"
78,"{'neg': 0.021, 'neu': 0.93, 'pos': 0.049, 'compound': 0.5346}"
79,"{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.784}"
80,"{'neg': 0.077, 'neu': 0.731, 'pos': 0.192, 'compound': 0.7238}"
81,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.5106}"
82,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2732}"
83,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.8225}"
84,"{'neg': 0.0, 'neu': 0.928, 'pos': 0.072, 'compound': 0.6848}"
85,"{'neg': 0.073, 'neu': 0.927, 'pos': 0.0, 'compound': -0.6355}"
86,"{'neg': 0.134, 'neu': 0.866, 'pos': 0.0, 'compound': -0.7783}"
87,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.9412}"
88,"{'neg': 0.021, 'neu': 0.917, 'pos': 0.062, 'compound': 0.6858}"
89,"{'neg': 0.0, 'neu': 0.801, 'pos': 0.199, 'compound': 0.6908}"
90,"{'neg': 0.058, 'neu': 0.942, 'pos': 0.0, 'compound': -0.2755}"
91,"{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.4557}"
92,"{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.5093}"
93,"{'neg': 0.107, 'neu': 0.808, 'pos': 0.085, 'compound': -0.3182}"
94,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.8395}"
