Thread,Positivity Scores
1,"{'neg': 0.086, 'neu': 0.813, 'pos': 0.1, 'compound': 0.2658}"
2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,"{'neg': 0.039, 'neu': 0.961, 'pos': 0.0, 'compound': -0.1875}"
4,"{'neg': 0.242, 'neu': 0.576, 'pos': 0.183, 'compound': -0.4602}"
5,"{'neg': 0.11, 'neu': 0.815, 'pos': 0.075, 'compound': -0.1969}"
6,"{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.6169}"
7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,"{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.4767}"
9,"{'neg': 0.0, 'neu': 0.968, 'pos': 0.032, 'compound': 0.2023}"
10,"{'neg': 0.043, 'neu': 0.908, 'pos': 0.049, 'compound': 0.1915}"
11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,"{'neg': 0.0, 'neu': 0.39, 'pos': 0.61, 'compound': 0.4824}"
13,"{'neg': 0.026, 'neu': 0.934, 'pos': 0.04, 'compound': 0.3612}"
14,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.6486}"
15,"{'neg': 0.069, 'neu': 0.766, 'pos': 0.165, 'compound': 0.655}"
16,"{'neg': 0.136, 'neu': 0.838, 'pos': 0.026, 'compound': -0.765}"
17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,"{'neg': 0.053, 'neu': 0.928, 'pos': 0.019, 'compound': -0.7492}"
19,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
20,"{'neg': 0.042, 'neu': 0.864, 'pos': 0.094, 'compound': 0.3459}"
21,"{'neg': 0.012, 'neu': 0.876, 'pos': 0.112, 'compound': 0.9717}"
22,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,"{'neg': 0.051, 'neu': 0.82, 'pos': 0.129, 'compound': 0.8446}"
24,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
25,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4019}"
26,"{'neg': 0.058, 'neu': 0.901, 'pos': 0.042, 'compound': -0.1779}"
27,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.6249}"
28,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.3612}"
29,"{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.644}"
30,"{'neg': 0.0, 'neu': 0.951, 'pos': 0.049, 'compound': 0.6908}"
31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
32,"{'neg': 0.0, 'neu': 0.976, 'pos': 0.024, 'compound': 0.2805}"
33,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
34,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.7845}"
35,"{'neg': 0.081, 'neu': 0.919, 'pos': 0.0, 'compound': -0.296}"
36,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.8934}"
37,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
38,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.4515}"
39,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4215}"
40,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
41,"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.7678}"
42,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
43,"{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.4215}"
44,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
45,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.743}"
46,"{'neg': 0.079, 'neu': 0.728, 'pos': 0.192, 'compound': 0.4019}"
47,"{'neg': 0.03, 'neu': 0.955, 'pos': 0.015, 'compound': -0.4082}"
48,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.1531}"
49,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.4329}"
50,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
51,"{'neg': 0.079, 'neu': 0.921, 'pos': 0.0, 'compound': -0.5171}"
52,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
53,"{'neg': 0.019, 'neu': 0.928, 'pos': 0.053, 'compound': 0.5644}"
54,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.7059}"
55,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
56,"{'neg': 0.0, 'neu': 0.928, 'pos': 0.072, 'compound': 0.3612}"
57,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.7096}"
58,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
59,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
60,"{'neg': 0.069, 'neu': 0.931, 'pos': 0.0, 'compound': -0.4428}"
61,"{'neg': 0.035, 'neu': 0.771, 'pos': 0.194, 'compound': 0.7964}"
62,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.3182}"
63,"{'neg': 0.0, 'neu': 0.978, 'pos': 0.022, 'compound': 0.25}"
64,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.4329}"
65,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.3736}"
66,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4215}"
67,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
68,"{'neg': 0.06, 'neu': 0.69, 'pos': 0.25, 'compound': 0.8404}"
69,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.4215}"
70,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.9168}"
71,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
72,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
73,"{'neg': 0.078, 'neu': 0.748, 'pos': 0.174, 'compound': 0.5399}"
74,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
75,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
76,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}"
77,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2732}"
78,"{'neg': 0.105, 'neu': 0.895, 'pos': 0.0, 'compound': -0.4019}"
79,"{'neg': 0.221, 'neu': 0.707, 'pos': 0.072, 'compound': -0.9059}"
80,"{'neg': 0.04, 'neu': 0.933, 'pos': 0.027, 'compound': -0.2023}"
81,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.6486}"
82,"{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.2023}"
83,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.8702}"
84,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.9509}"
85,"{'neg': 0.067, 'neu': 0.669, 'pos': 0.264, 'compound': 0.6908}"
86,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
87,"{'neg': 0.127, 'neu': 0.873, 'pos': 0.0, 'compound': -0.4404}"
88,"{'neg': 0.111, 'neu': 0.788, 'pos': 0.101, 'compound': -0.126}"
89,"{'neg': 0.03, 'neu': 0.842, 'pos': 0.128, 'compound': 0.7529}"
90,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
91,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
92,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.3818}"
93,"{'neg': 0.061, 'neu': 0.856, 'pos': 0.082, 'compound': -0.3421}"
94,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
95,"{'neg': 0.074, 'neu': 0.845, 'pos': 0.081, 'compound': -0.1027}"
96,"{'neg': 0.518, 'neu': 0.482, 'pos': 0.0, 'compound': -0.6486}"
97,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
98,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
99,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
100,"{'neg': 0.212, 'neu': 0.485, 'pos': 0.303, 'compound': 0.128}"
101,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
102,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.6369}"
103,"{'neg': 0.024, 'neu': 0.917, 'pos': 0.058, 'compound': 0.4588}"
104,"{'neg': 0.056, 'neu': 0.944, 'pos': 0.0, 'compound': -0.2023}"
105,"{'neg': 0.06, 'neu': 0.859, 'pos': 0.081, 'compound': 0.3923}"
106,"{'neg': 0.066, 'neu': 0.875, 'pos': 0.059, 'compound': 0.1779}"
107,"{'neg': 0.0, 'neu': 0.702, 'pos': 0.298, 'compound': 0.6249}"
108,"{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.7263}"
109,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
110,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.7789}"
111,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
112,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
113,"{'neg': 0.019, 'neu': 0.845, 'pos': 0.137, 'compound': 0.9277}"
114,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.3612}"
115,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.5775}"
116,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.6486}"
117,"{'neg': 0.0, 'neu': 0.923, 'pos': 0.077, 'compound': 0.5023}"
118,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.5228}"
119,"{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.6652}"
120,"{'neg': 0.034, 'neu': 0.911, 'pos': 0.055, 'compound': 0.2242}"
121,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
122,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.3612}"
123,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.7003}"
124,"{'neg': 0.0, 'neu': 0.692, 'pos': 0.308, 'compound': 0.8205}"
125,"{'neg': 0.0, 'neu': 0.786, 'pos': 0.214, 'compound': 0.9184}"
126,"{'neg': 0.03, 'neu': 0.888, 'pos': 0.082, 'compound': 0.3313}"
127,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.7964}"
128,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.8979}"
129,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.9306}"
130,"{'neg': 0.0, 'neu': 0.138, 'pos': 0.862, 'compound': 0.7404}"
131,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3595}"
132,"{'neg': 0.756, 'neu': 0.244, 'pos': 0.0, 'compound': -0.4767}"
133,"{'neg': 0.0, 'neu': 0.598, 'pos': 0.402, 'compound': 0.5719}"
134,"{'neg': 0.077, 'neu': 0.7, 'pos': 0.222, 'compound': 0.7003}"
135,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.5423}"
136,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
137,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.481}"
138,"{'neg': 0.045, 'neu': 0.908, 'pos': 0.048, 'compound': 0.0516}"
139,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.2732}"
140,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.3612}"
141,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.3736}"
142,"{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.7184}"
143,"{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.8295}"
144,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.296}"
145,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.8836}"
146,"{'neg': 0.091, 'neu': 0.861, 'pos': 0.048, 'compound': -0.3098}"
147,"{'neg': 0.047, 'neu': 0.86, 'pos': 0.093, 'compound': 0.3818}"
148,"{'neg': 0.0, 'neu': 0.574, 'pos': 0.426, 'compound': 0.6369}"
149,"{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.7184}"
150,"{'neg': 0.026, 'neu': 0.974, 'pos': 0.0, 'compound': -0.1779}"
151,"{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.1901}"
152,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
153,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
154,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.3736}"
155,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
156,"{'neg': 0.0, 'neu': 0.497, 'pos': 0.503, 'compound': 0.7239}"
157,"{'neg': 0.092, 'neu': 0.884, 'pos': 0.024, 'compound': -0.555}"
158,"{'neg': 0.08, 'neu': 0.92, 'pos': 0.0, 'compound': -0.1655}"
