Thread,Positivity Scores
70,"{'neg': 0.043, 'neu': 0.661, 'pos': 0.296, 'compound': 0.8378}"
71,"{'neg': 0.138, 'neu': 0.769, 'pos': 0.092, 'compound': -0.2263}"
72,"{'neg': 0.155, 'neu': 0.352, 'pos': 0.493, 'compound': 0.7003}"
73,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}"
74,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.4767}"
75,"{'neg': 0.087, 'neu': 0.811, 'pos': 0.101, 'compound': 0.1154}"
76,"{'neg': 0.073, 'neu': 0.825, 'pos': 0.103, 'compound': -0.1053}"
77,"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.6683}"
78,"{'neg': 0.131, 'neu': 0.869, 'pos': 0.0, 'compound': -0.8423}"
79,"{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.6249}"
80,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
81,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
82,"{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.3939}"
83,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
84,"{'neg': 0.057, 'neu': 0.943, 'pos': 0.0, 'compound': -0.4137}"
85,"{'neg': 0.045, 'neu': 0.779, 'pos': 0.176, 'compound': 0.7476}"
86,"{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.6249}"
87,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.836}"
88,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.8313}"
89,"{'neg': 0.008, 'neu': 0.992, 'pos': 0.0, 'compound': -0.0516}"
90,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
91,"{'neg': 0.0, 'neu': 0.932, 'pos': 0.068, 'compound': 0.2732}"
92,"{'neg': 0.133, 'neu': 0.835, 'pos': 0.032, 'compound': -0.8577}"
93,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
94,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.926}"
95,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
96,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
97,"{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.5023}"
98,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.7177}"
99,"{'neg': 0.043, 'neu': 0.798, 'pos': 0.16, 'compound': 0.7391}"
100,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.6249}"
101,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}"
102,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
103,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}"
104,"{'neg': 0.047, 'neu': 0.855, 'pos': 0.097, 'compound': 0.343}"
105,"{'neg': 0.062, 'neu': 0.938, 'pos': 0.0, 'compound': -0.2924}"
106,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4939}"
107,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
108,"{'neg': 0.241, 'neu': 0.759, 'pos': 0.0, 'compound': -0.8674}"
109,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
110,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
111,"{'neg': 0.0, 'neu': 0.799, 'pos': 0.201, 'compound': 0.8313}"
112,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.3612}"
113,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4404}"
114,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
115,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
116,"{'neg': 0.065, 'neu': 0.816, 'pos': 0.118, 'compound': 0.3182}"
117,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
118,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
119,"{'neg': 0.125, 'neu': 0.823, 'pos': 0.052, 'compound': -0.9113}"
120,"{'neg': 0.0, 'neu': 0.946, 'pos': 0.054, 'compound': 0.2732}"
121,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.7717}"
122,"{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.5423}"
123,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
124,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
125,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.5267}"
126,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4588}"
127,"{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.5994}"
128,"{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.34}"
129,"{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.3612}"
130,"{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.3612}"
131,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}"
132,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
133,"{'neg': 0.112, 'neu': 0.698, 'pos': 0.19, 'compound': 0.6668}"
134,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.7469}"
135,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
136,"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.4497}"
137,"{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.5574}"
138,"{'neg': 0.0, 'neu': 0.869, 'pos': 0.131, 'compound': 0.4859}"
139,"{'neg': 0.134, 'neu': 0.78, 'pos': 0.085, 'compound': -0.1779}"
140,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
141,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.6072}"
142,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
143,"{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.3612}"
144,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.4215}"
145,"{'neg': 0.054, 'neu': 0.88, 'pos': 0.066, 'compound': 0.0387}"
146,"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.5267}"
147,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
148,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.5574}"
149,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}"
150,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.4329}"
151,"{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.3612}"
152,"{'neg': 0.121, 'neu': 0.762, 'pos': 0.117, 'compound': -0.0258}"
153,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
154,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}"
155,"{'neg': 0.08, 'neu': 0.92, 'pos': 0.0, 'compound': -0.4434}"
156,"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.5204}"
