Thread,Sentiment Scores,Label,Positive Score
1,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.8271}",pos,0.217
2,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",pos,1.0
3,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.8957}",pos,0.185
4,"{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.4767}",pos,0.061
5,"{'neg': 0.027, 'neu': 0.914, 'pos': 0.059, 'compound': 0.4897}",pos,0.059
6,"{'neg': 0.121, 'neu': 0.832, 'pos': 0.047, 'compound': -0.765}",neg,0.047
7,"{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.3182}",pos,0.078
8,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.34}",pos,0.112
9,"{'neg': 0.072, 'neu': 0.835, 'pos': 0.093, 'compound': 0.2244}",pos,0.093
10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
11,"{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.5129}",pos,0.142
12,"{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.6486}",pos,0.371
13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
15,"{'neg': 0.0, 'neu': 0.947, 'pos': 0.053, 'compound': 0.3612}",pos,0.053
16,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.2023}",pos,0.375
17,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4939}",pos,0.186
18,"{'neg': 0.022, 'neu': 0.881, 'pos': 0.097, 'compound': 0.7673}",pos,0.097
19,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
