Thread,Sentiment Scores,Label,Positive Score
62,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
63,"{'neg': 0.146, 'neu': 0.703, 'pos': 0.151, 'compound': 0.0258}",pos,0.151
64,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.34}",pos,0.112
65,"{'neg': 0.203, 'neu': 0.629, 'pos': 0.169, 'compound': -0.1531}",neg,0.169
66,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
67,"{'neg': 0.047, 'neu': 0.877, 'pos': 0.076, 'compound': 0.4678}",pos,0.076
68,"{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.8176}",pos,0.246
69,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
70,"{'neg': 0.079, 'neu': 0.921, 'pos': 0.0, 'compound': -0.4753}",neg,0.0
71,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
72,"{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.757}",neg,0.0
73,"{'neg': 0.078, 'neu': 0.831, 'pos': 0.091, 'compound': 0.1953}",pos,0.091
74,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
75,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
76,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
77,"{'neg': 0.153, 'neu': 0.694, 'pos': 0.153, 'compound': 0.0}",neu,0.153
78,"{'neg': 0.0, 'neu': 0.692, 'pos': 0.308, 'compound': 0.8658}",pos,0.308
79,"{'neg': 0.174, 'neu': 0.735, 'pos': 0.091, 'compound': -0.4019}",neg,0.091
80,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
81,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
82,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
83,"{'neg': 0.052, 'neu': 0.948, 'pos': 0.0, 'compound': -0.5153}",neg,0.0
84,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
85,"{'neg': 0.051, 'neu': 0.842, 'pos': 0.108, 'compound': 0.4005}",pos,0.108
86,"{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.0516}",pos,0.062
87,"{'neg': 0.338, 'neu': 0.375, 'pos': 0.287, 'compound': -0.1027}",neg,0.287
88,"{'neg': 0.0, 'neu': 0.869, 'pos': 0.131, 'compound': 0.8201}",pos,0.131
89,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.2023}",pos,0.096
90,"{'neg': 0.343, 'neu': 0.657, 'pos': 0.0, 'compound': -0.6385}",neg,0.0
91,"{'neg': 0.067, 'neu': 0.832, 'pos': 0.101, 'compound': -0.0258}",neg,0.101
92,"{'neg': 0.042, 'neu': 0.958, 'pos': 0.0, 'compound': -0.2944}",neg,0.0
93,"{'neg': 0.074, 'neu': 0.871, 'pos': 0.055, 'compound': -0.2263}",neg,0.055
94,"{'neg': 0.207, 'neu': 0.615, 'pos': 0.178, 'compound': 0.1376}",pos,0.178
95,"{'neg': 0.107, 'neu': 0.725, 'pos': 0.168, 'compound': 0.4767}",pos,0.168
96,"{'neg': 0.102, 'neu': 0.735, 'pos': 0.163, 'compound': 0.4019}",pos,0.163
97,"{'neg': 0.0, 'neu': 0.931, 'pos': 0.069, 'compound': 0.6369}",pos,0.069
98,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
99,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
100,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.5267}",pos,0.286
101,"{'neg': 0.106, 'neu': 0.847, 'pos': 0.046, 'compound': -0.6199}",neg,0.046
102,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
103,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
104,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
105,"{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.8567}",pos,0.15
106,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
107,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.474}",pos,0.607
108,"{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.296}",pos,0.087
109,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
110,"{'neg': 0.0, 'neu': 0.954, 'pos': 0.046, 'compound': 0.4497}",pos,0.046
111,"{'neg': 0.093, 'neu': 0.861, 'pos': 0.046, 'compound': -0.4019}",neg,0.046
112,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.316}",pos,0.094
113,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
114,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
115,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6705}",pos,1.0
116,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}",pos,0.2
117,"{'neg': 0.085, 'neu': 0.85, 'pos': 0.065, 'compound': -0.1759}",neg,0.065
118,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
119,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.4019}",pos,0.184
120,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
121,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.6369}",pos,0.189
122,"{'neg': 0.09, 'neu': 0.803, 'pos': 0.107, 'compound': 0.126}",pos,0.107
123,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.4404}",pos,0.1
124,"{'neg': 0.043, 'neu': 0.892, 'pos': 0.065, 'compound': 0.5356}",pos,0.065
125,"{'neg': 0.0, 'neu': 0.963, 'pos': 0.037, 'compound': 0.1791}",pos,0.037
126,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
127,"{'neg': 0.0, 'neu': 0.25, 'pos': 0.75, 'compound': 0.4588}",pos,0.75
128,"{'neg': 0.0, 'neu': 0.951, 'pos': 0.049, 'compound': 0.0772}",pos,0.049
129,"{'neg': 0.0, 'neu': 0.276, 'pos': 0.724, 'compound': 0.8885}",pos,0.724
130,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.6597}",pos,0.329
131,"{'neg': 0.14, 'neu': 0.718, 'pos': 0.142, 'compound': -0.1891}",neg,0.142
