Thread,Sentiment Scores,Label,Positive Score
62,"{'neg': 0.044, 'neu': 0.894, 'pos': 0.063, 'compound': 0.4018}",pos,0.063
63,"{'neg': 0.052, 'neu': 0.873, 'pos': 0.075, 'compound': 0.0147}",pos,0.075
64,"{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.7339}",pos,0.407
65,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
66,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.5994}",neg,0.0
67,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
68,"{'neg': 0.162, 'neu': 0.702, 'pos': 0.136, 'compound': -0.1431}",neg,0.136
69,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
70,"{'neg': 0.065, 'neu': 0.935, 'pos': 0.0, 'compound': -0.4019}",neg,0.0
71,"{'neg': 0.0, 'neu': 0.438, 'pos': 0.562, 'compound': 0.8402}",pos,0.562
72,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
73,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
74,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
75,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
76,"{'neg': 0.057, 'neu': 0.943, 'pos': 0.0, 'compound': -0.4019}",neg,0.0
77,"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.6705}",pos,0.08
78,"{'neg': 0.021, 'neu': 0.93, 'pos': 0.049, 'compound': 0.5346}",pos,0.049
79,"{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.784}",pos,0.434
80,"{'neg': 0.077, 'neu': 0.731, 'pos': 0.192, 'compound': 0.7238}",pos,0.192
81,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.5106}",pos,0.128
82,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2732}",pos,0.174
83,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.8225}",pos,0.231
84,"{'neg': 0.0, 'neu': 0.928, 'pos': 0.072, 'compound': 0.6848}",pos,0.072
85,"{'neg': 0.073, 'neu': 0.927, 'pos': 0.0, 'compound': -0.6355}",neg,0.0
86,"{'neg': 0.134, 'neu': 0.866, 'pos': 0.0, 'compound': -0.7783}",neg,0.0
87,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.9412}",pos,0.157
88,"{'neg': 0.021, 'neu': 0.917, 'pos': 0.062, 'compound': 0.6858}",pos,0.062
89,"{'neg': 0.0, 'neu': 0.801, 'pos': 0.199, 'compound': 0.6908}",pos,0.199
90,"{'neg': 0.058, 'neu': 0.942, 'pos': 0.0, 'compound': -0.2755}",neg,0.0
91,"{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.4557}",neg,0.0
92,"{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.5093}",pos,0.32
93,"{'neg': 0.107, 'neu': 0.808, 'pos': 0.085, 'compound': -0.3182}",neg,0.085
