Thread,Sentiment Scores,Label,Positive Score
62,"{'neg': 0.064, 'neu': 0.809, 'pos': 0.127, 'compound': 0.3595}",neu,0.127
63,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
64,"{'neg': 0.176, 'neu': 0.64, 'pos': 0.184, 'compound': 0.0258}",neu,0.184
65,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.4003}",neu,0.35
66,"{'neg': 0.0, 'neu': 0.911, 'pos': 0.089, 'compound': 0.2144}",neu,0.089
67,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
68,"{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.6369}",neu,0.052
69,"{'neg': 0.092, 'neu': 0.869, 'pos': 0.039, 'compound': -0.1855}",neu,0.039
70,"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4576}",neu,0.097
71,"{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.4215}",neu,0.142
72,"{'neg': 0.026, 'neu': 0.88, 'pos': 0.094, 'compound': 0.8519}",neu,0.094
73,"{'neg': 0.157, 'neu': 0.642, 'pos': 0.201, 'compound': 0.1376}",neu,0.201
74,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.4404}",neu,0.0
75,"{'neg': 0.0, 'neu': 0.646, 'pos': 0.354, 'compound': 0.6588}",neu,0.354
76,"{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.4019}",neu,0.137
77,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
78,"{'neg': 0.104, 'neu': 0.765, 'pos': 0.131, 'compound': 0.2247}",neu,0.131
79,"{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.296}",neu,0.0
80,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
81,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
82,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
83,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.4124}",neu,0.234
84,"{'neg': 0.052, 'neu': 0.85, 'pos': 0.098, 'compound': 0.9277}",neu,0.098
85,"{'neg': 0.0, 'neu': 0.668, 'pos': 0.332, 'compound': 0.4549}",neu,0.332
86,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}",pos,1.0
87,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
88,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
89,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",neu,0.244
90,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
91,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
92,"{'neg': 0.0, 'neu': 0.932, 'pos': 0.068, 'compound': 0.7579}",neu,0.068
93,"{'neg': 0.0, 'neu': 0.928, 'pos': 0.072, 'compound': 0.8426}",neu,0.072
94,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
95,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.6652}",neu,0.139
96,"{'neg': 0.1, 'neu': 0.721, 'pos': 0.18, 'compound': 0.6893}",neu,0.18
97,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}",neu,0.172
98,"{'neg': 0.052, 'neu': 0.882, 'pos': 0.067, 'compound': -0.0772}",neu,0.067
99,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.7882}",neu,0.119
100,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
101,"{'neg': 0.093, 'neu': 0.828, 'pos': 0.079, 'compound': -0.555}",neu,0.079
102,"{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.3612}",neu,0.065
103,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
104,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
105,"{'neg': 0.043, 'neu': 0.957, 'pos': 0.0, 'compound': -0.1232}",neu,0.0
106,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",neu,0.455
107,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
108,"{'neg': 0.03, 'neu': 0.947, 'pos': 0.023, 'compound': -0.1154}",neu,0.023
109,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
110,"{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.6808}",neu,0.087
111,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.7964}",neu,0.0
112,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
113,"{'neg': 0.0, 'neu': 0.869, 'pos': 0.131, 'compound': 0.8949}",neu,0.131
114,"{'neg': 0.073, 'neu': 0.615, 'pos': 0.313, 'compound': 0.6486}",neu,0.313
115,"{'neg': 0.084, 'neu': 0.868, 'pos': 0.048, 'compound': -0.2168}",neu,0.048
116,"{'neg': 0.479, 'neu': 0.521, 'pos': 0.0, 'compound': -0.5556}",neu,0.0
