Thread,Sentiment Scores,Label,Positive Score
62,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
63,"{'neg': 0.0, 'neu': 0.952, 'pos': 0.048, 'compound': 0.0387}",neu,0.048
64,"{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.6996}",neu,0.243
65,"{'neg': 0.059, 'neu': 0.881, 'pos': 0.061, 'compound': 0.0129}",neu,0.061
66,"{'neg': 0.127, 'neu': 0.777, 'pos': 0.095, 'compound': 0.0258}",neu,0.095
67,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.7269}",neu,0.336
68,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
69,"{'neg': 0.074, 'neu': 0.836, 'pos': 0.09, 'compound': 0.2924}",neu,0.09
70,"{'neg': 0.045, 'neu': 0.909, 'pos': 0.046, 'compound': 0.0258}",neu,0.046
71,"{'neg': 0.019, 'neu': 0.942, 'pos': 0.04, 'compound': 0.4329}",neu,0.04
72,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
73,"{'neg': 0.084, 'neu': 0.854, 'pos': 0.062, 'compound': -0.25}",neu,0.062
74,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",neu,0.225
75,"{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.3182}",neu,0.113
76,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.7757}",neu,0.1
77,"{'neg': 0.021, 'neu': 0.961, 'pos': 0.018, 'compound': -0.126}",neu,0.018
78,"{'neg': 0.171, 'neu': 0.643, 'pos': 0.186, 'compound': 0.0516}",neu,0.186
79,"{'neg': 0.16, 'neu': 0.772, 'pos': 0.067, 'compound': -0.69}",neu,0.067
80,"{'neg': 0.048, 'neu': 0.827, 'pos': 0.125, 'compound': 0.784}",neu,0.125
81,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",pos,0.556
82,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
83,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
84,"{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.4019}",neu,0.07
85,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
86,"{'neg': 0.049, 'neu': 0.951, 'pos': 0.0, 'compound': -0.5994}",neu,0.0
87,"{'neg': 0.077, 'neu': 0.879, 'pos': 0.044, 'compound': -0.2023}",neu,0.044
88,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.6747}",neu,0.176
89,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
90,"{'neg': 0.068, 'neu': 0.825, 'pos': 0.107, 'compound': 0.1513}",neu,0.107
91,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
92,"{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.6369}",neu,0.0
93,"{'neg': 0.014, 'neu': 0.905, 'pos': 0.081, 'compound': 0.7609}",neu,0.081
94,"{'neg': 0.054, 'neu': 0.908, 'pos': 0.038, 'compound': -0.2732}",neu,0.038
95,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.466}",neu,0.098
96,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
97,"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.6369}",neu,0.12
98,"{'neg': 0.135, 'neu': 0.865, 'pos': 0.0, 'compound': -0.1027}",neu,0.0
99,"{'neg': 0.011, 'neu': 0.938, 'pos': 0.052, 'compound': 0.701}",neu,0.052
100,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
101,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
102,"{'neg': 0.052, 'neu': 0.948, 'pos': 0.0, 'compound': -0.4574}",neu,0.0
103,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.5994}",neu,0.091
104,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.83}",neu,0.267
105,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.5927}",neu,0.117
106,"{'neg': 0.03, 'neu': 0.957, 'pos': 0.012, 'compound': -0.3818}",neu,0.012
107,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
108,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.5574}",neu,0.261
109,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
110,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.8621}",neu,0.148
111,"{'neg': 0.06, 'neu': 0.907, 'pos': 0.033, 'compound': -0.2955}",neu,0.033
112,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
113,"{'neg': 0.019, 'neu': 0.893, 'pos': 0.088, 'compound': 0.9482}",neu,0.088
114,"{'neg': 0.129, 'neu': 0.74, 'pos': 0.131, 'compound': 0.0108}",neu,0.131
115,"{'neg': 0.0, 'neu': 0.471, 'pos': 0.529, 'compound': 0.8398}",pos,0.529
116,"{'neg': 0.124, 'neu': 0.824, 'pos': 0.053, 'compound': -0.4767}",neu,0.053
117,"{'neg': 0.052, 'neu': 0.72, 'pos': 0.228, 'compound': 0.7269}",neu,0.228
118,"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.0772}",neu,0.08
119,"{'neg': 0.078, 'neu': 0.834, 'pos': 0.088, 'compound': 0.4065}",neu,0.088
120,"{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.1531}",neu,0.0
121,"{'neg': 0.064, 'neu': 0.901, 'pos': 0.035, 'compound': -0.6199}",neu,0.035
122,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.81}",neu,0.224
123,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
124,"{'neg': 0.0, 'neu': 0.947, 'pos': 0.053, 'compound': 0.2617}",neu,0.053
125,"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.7469}",neu,0.115
126,"{'neg': 0.152, 'neu': 0.812, 'pos': 0.037, 'compound': -0.8192}",neu,0.037
127,"{'neg': 0.07, 'neu': 0.726, 'pos': 0.204, 'compound': 0.5848}",neu,0.204
128,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
129,"{'neg': 0.16, 'neu': 0.774, 'pos': 0.066, 'compound': -0.5106}",neu,0.066
130,"{'neg': 0.218, 'neu': 0.782, 'pos': 0.0, 'compound': -0.8047}",neu,0.0
131,"{'neg': 0.562, 'neu': 0.0, 'pos': 0.437, 'compound': -0.1531}",neg,0.437
132,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.7941}",neu,0.185
133,"{'neg': 0.359, 'neu': 0.641, 'pos': 0.0, 'compound': -0.7506}",neu,0.0
134,"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.3527}",neu,0.12
135,"{'neg': 0.11, 'neu': 0.822, 'pos': 0.068, 'compound': -0.2617}",neu,0.068
136,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.6486}",neu,0.117
137,"{'neg': 0.105, 'neu': 0.788, 'pos': 0.107, 'compound': 0.2617}",neu,0.107
138,"{'neg': 0.0, 'neu': 0.79, 'pos': 0.21, 'compound': 0.8268}",neu,0.21
139,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.6908}",neu,0.275
140,"{'neg': 0.091, 'neu': 0.783, 'pos': 0.126, 'compound': -0.0547}",neu,0.126
141,"{'neg': 0.062, 'neu': 0.756, 'pos': 0.182, 'compound': 0.6444}",neu,0.182
142,"{'neg': 0.121, 'neu': 0.808, 'pos': 0.071, 'compound': -0.2484}",neu,0.071
143,"{'neg': 0.0, 'neu': 0.954, 'pos': 0.046, 'compound': 0.0387}",neu,0.046
144,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.6486}",neu,0.227
145,"{'neg': 0.0, 'neu': 0.96, 'pos': 0.04, 'compound': 0.3939}",neu,0.04
146,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.8481}",neu,0.261
147,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.5719}",neu,0.121
148,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",neu,0.238
149,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.438}",neu,0.0
150,"{'neg': 0.023, 'neu': 0.964, 'pos': 0.013, 'compound': -0.058}",neu,0.013
151,"{'neg': 0.074, 'neu': 0.821, 'pos': 0.105, 'compound': -0.1027}",neu,0.105
152,"{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.5927}",neu,0.102
153,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
154,"{'neg': 0.126, 'neu': 0.759, 'pos': 0.116, 'compound': -0.3716}",neu,0.116
155,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}",neu,0.197
156,"{'neg': 0.048, 'neu': 0.935, 'pos': 0.017, 'compound': -0.4606}",neu,0.017
157,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
158,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
159,"{'neg': 0.103, 'neu': 0.808, 'pos': 0.089, 'compound': -0.1596}",neu,0.089
160,"{'neg': 0.103, 'neu': 0.838, 'pos': 0.059, 'compound': -0.3612}",neu,0.059
161,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
162,"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.69}",neu,0.222
163,"{'neg': 0.053, 'neu': 0.851, 'pos': 0.096, 'compound': 0.2846}",neu,0.096
164,"{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.3818}",neu,0.061
165,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.7184}",pos,0.5
166,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.9223}",neu,0.0
167,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
168,"{'neg': 0.0, 'neu': 0.958, 'pos': 0.042, 'compound': 0.2805}",neu,0.042
169,"{'neg': 0.139, 'neu': 0.786, 'pos': 0.075, 'compound': -0.9124}",neu,0.075
170,"{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.4939}",neu,0.314
171,"{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.1901}",neu,0.0
172,"{'neg': 0.089, 'neu': 0.787, 'pos': 0.124, 'compound': 0.3934}",neu,0.124
173,"{'neg': 0.085, 'neu': 0.843, 'pos': 0.073, 'compound': -0.2103}",neu,0.073
174,"{'neg': 0.012, 'neu': 0.929, 'pos': 0.058, 'compound': 0.6081}",neu,0.058
175,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
176,"{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.4019}",neu,0.0
