Thread,Sentiment Scores,Label,Positive Score
1,"{'neg': 0.086, 'neu': 0.813, 'pos': 0.1, 'compound': 0.2658}",neu,0.1
2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
3,"{'neg': 0.039, 'neu': 0.961, 'pos': 0.0, 'compound': -0.1875}",neu,0.0
4,"{'neg': 0.242, 'neu': 0.576, 'pos': 0.183, 'compound': -0.4602}",neu,0.183
5,"{'neg': 0.11, 'neu': 0.815, 'pos': 0.075, 'compound': -0.1969}",neu,0.075
6,"{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.6169}",neu,0.0
7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
8,"{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.4767}",neu,0.0
9,"{'neg': 0.0, 'neu': 0.968, 'pos': 0.032, 'compound': 0.2023}",neu,0.032
10,"{'neg': 0.043, 'neu': 0.908, 'pos': 0.049, 'compound': 0.1915}",neu,0.049
11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
12,"{'neg': 0.0, 'neu': 0.39, 'pos': 0.61, 'compound': 0.4824}",pos,0.61
13,"{'neg': 0.026, 'neu': 0.934, 'pos': 0.04, 'compound': 0.3612}",neu,0.04
14,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.6486}",neu,0.076
15,"{'neg': 0.069, 'neu': 0.766, 'pos': 0.165, 'compound': 0.655}",neu,0.165
16,"{'neg': 0.136, 'neu': 0.838, 'pos': 0.026, 'compound': -0.765}",neu,0.026
17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
18,"{'neg': 0.053, 'neu': 0.928, 'pos': 0.019, 'compound': -0.7492}",neu,0.019
19,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
20,"{'neg': 0.042, 'neu': 0.864, 'pos': 0.094, 'compound': 0.3459}",neu,0.094
21,"{'neg': 0.012, 'neu': 0.876, 'pos': 0.112, 'compound': 0.9717}",neu,0.112
22,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
23,"{'neg': 0.051, 'neu': 0.82, 'pos': 0.129, 'compound': 0.8446}",neu,0.129
24,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
25,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4019}",neu,0.153
26,"{'neg': 0.058, 'neu': 0.901, 'pos': 0.042, 'compound': -0.1779}",neu,0.042
27,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.6249}",neu,0.121
28,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.3612}",neu,0.122
29,"{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.644}",neu,0.0
30,"{'neg': 0.0, 'neu': 0.951, 'pos': 0.049, 'compound': 0.6908}",neu,0.049
31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
32,"{'neg': 0.0, 'neu': 0.976, 'pos': 0.024, 'compound': 0.2805}",neu,0.024
33,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
34,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.7845}",neu,0.101
35,"{'neg': 0.081, 'neu': 0.919, 'pos': 0.0, 'compound': -0.296}",neu,0.0
36,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.8934}",neu,0.238
37,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
38,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.4515}",neu,0.117
39,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4215}",neu,0.219
40,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
41,"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.7678}",neu,0.0
42,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
43,"{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.4215}",neu,0.0
44,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
45,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.743}",neu,0.186
46,"{'neg': 0.079, 'neu': 0.728, 'pos': 0.192, 'compound': 0.4019}",neu,0.192
47,"{'neg': 0.03, 'neu': 0.955, 'pos': 0.015, 'compound': -0.4082}",neu,0.015
48,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.1531}",neu,0.138
49,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.4329}",neu,0.111
50,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
51,"{'neg': 0.079, 'neu': 0.921, 'pos': 0.0, 'compound': -0.5171}",neu,0.0
52,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
53,"{'neg': 0.019, 'neu': 0.928, 'pos': 0.053, 'compound': 0.5644}",neu,0.053
54,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.7059}",neu,0.0
55,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
56,"{'neg': 0.0, 'neu': 0.928, 'pos': 0.072, 'compound': 0.3612}",neu,0.072
57,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.7096}",neu,0.365
58,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
59,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
60,"{'neg': 0.069, 'neu': 0.931, 'pos': 0.0, 'compound': -0.4428}",neu,0.0
61,"{'neg': 0.035, 'neu': 0.771, 'pos': 0.194, 'compound': 0.7964}",neu,0.194
62,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.3182}",neu,0.119
63,"{'neg': 0.0, 'neu': 0.978, 'pos': 0.022, 'compound': 0.25}",neu,0.022
64,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.4329}",neu,0.103
65,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.3736}",neu,0.0
66,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4215}",neu,0.167
67,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
68,"{'neg': 0.06, 'neu': 0.69, 'pos': 0.25, 'compound': 0.8404}",neu,0.25
69,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.4215}",neu,0.157
70,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.9168}",neu,0.315
71,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
72,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
73,"{'neg': 0.078, 'neu': 0.748, 'pos': 0.174, 'compound': 0.5399}",neu,0.174
74,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
75,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
76,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}",neu,0.209
77,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2732}",neu,0.208
78,"{'neg': 0.105, 'neu': 0.895, 'pos': 0.0, 'compound': -0.4019}",neu,0.0
79,"{'neg': 0.221, 'neu': 0.707, 'pos': 0.072, 'compound': -0.9059}",neu,0.072
80,"{'neg': 0.04, 'neu': 0.933, 'pos': 0.027, 'compound': -0.2023}",neu,0.027
81,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.6486}",neu,0.209
82,"{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.2023}",neu,0.0
83,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.8702}",neu,0.216
84,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.9509}",neu,0.364
85,"{'neg': 0.067, 'neu': 0.669, 'pos': 0.264, 'compound': 0.6908}",neu,0.264
86,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
87,"{'neg': 0.127, 'neu': 0.873, 'pos': 0.0, 'compound': -0.4404}",neu,0.0
88,"{'neg': 0.111, 'neu': 0.788, 'pos': 0.101, 'compound': -0.126}",neu,0.101
89,"{'neg': 0.03, 'neu': 0.842, 'pos': 0.128, 'compound': 0.7529}",neu,0.128
90,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
91,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
92,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.3818}",neu,0.271
93,"{'neg': 0.061, 'neu': 0.856, 'pos': 0.082, 'compound': -0.3421}",neu,0.082
94,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
95,"{'neg': 0.074, 'neu': 0.845, 'pos': 0.081, 'compound': -0.1027}",neu,0.081
96,"{'neg': 0.518, 'neu': 0.482, 'pos': 0.0, 'compound': -0.6486}",neg,0.0
97,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
98,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
99,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
100,"{'neg': 0.212, 'neu': 0.485, 'pos': 0.303, 'compound': 0.128}",neu,0.303
101,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
102,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.6369}",neu,0.276
103,"{'neg': 0.024, 'neu': 0.917, 'pos': 0.058, 'compound': 0.4588}",neu,0.058
104,"{'neg': 0.056, 'neu': 0.944, 'pos': 0.0, 'compound': -0.2023}",neu,0.0
105,"{'neg': 0.06, 'neu': 0.859, 'pos': 0.081, 'compound': 0.3923}",neu,0.081
106,"{'neg': 0.066, 'neu': 0.875, 'pos': 0.059, 'compound': 0.1779}",neu,0.059
107,"{'neg': 0.0, 'neu': 0.702, 'pos': 0.298, 'compound': 0.6249}",neu,0.298
108,"{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.7263}",neu,0.156
109,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
110,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.7789}",neu,0.0
111,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
112,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
113,"{'neg': 0.019, 'neu': 0.845, 'pos': 0.137, 'compound': 0.9277}",neu,0.137
114,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.3612}",neu,0.0
115,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.5775}",neu,0.103
116,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.6486}",neu,0.218
117,"{'neg': 0.0, 'neu': 0.923, 'pos': 0.077, 'compound': 0.5023}",neu,0.077
118,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.5228}",neu,0.273
119,"{'neg': 0.0, 'neu': 0.844, 'pos': 0.156, 'compound': 0.6652}",neu,0.156
120,"{'neg': 0.034, 'neu': 0.911, 'pos': 0.055, 'compound': 0.2242}",neu,0.055
121,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
122,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.3612}",neu,0.185
123,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.7003}",neu,0.209
124,"{'neg': 0.0, 'neu': 0.692, 'pos': 0.308, 'compound': 0.8205}",neu,0.308
125,"{'neg': 0.0, 'neu': 0.786, 'pos': 0.214, 'compound': 0.9184}",neu,0.214
126,"{'neg': 0.03, 'neu': 0.888, 'pos': 0.082, 'compound': 0.3313}",neu,0.082
127,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.7964}",neu,0.259
128,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.8979}",neu,0.231
129,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.9306}",neu,0.244
130,"{'neg': 0.0, 'neu': 0.138, 'pos': 0.862, 'compound': 0.7404}",pos,0.862
131,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3595}",neu,0.106
132,"{'neg': 0.756, 'neu': 0.244, 'pos': 0.0, 'compound': -0.4767}",neg,0.0
133,"{'neg': 0.0, 'neu': 0.598, 'pos': 0.402, 'compound': 0.5719}",neu,0.402
134,"{'neg': 0.077, 'neu': 0.7, 'pos': 0.222, 'compound': 0.7003}",neu,0.222
