Thread,Sentiment Scores,Label,Positive Score
1,"{'neg': 0.07, 'neu': 0.93, 'pos': 0.0, 'compound': -0.2912}",neu,0.0
2,"{'neg': 0.0, 'neu': 0.908, 'pos': 0.092, 'compound': 0.872}",neu,0.092
3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
4,"{'neg': 0.0, 'neu': 0.954, 'pos': 0.046, 'compound': 0.0772}",neu,0.046
5,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.5719}",neu,0.121
6,"{'neg': 0.063, 'neu': 0.865, 'pos': 0.072, 'compound': 0.0772}",neu,0.072
7,"{'neg': 0.039, 'neu': 0.929, 'pos': 0.032, 'compound': -0.2263}",neu,0.032
8,"{'neg': 0.02, 'neu': 0.844, 'pos': 0.136, 'compound': 0.8422}",neu,0.136
9,"{'neg': 0.025, 'neu': 0.877, 'pos': 0.098, 'compound': 0.8171}",neu,0.098
10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
11,"{'neg': 0.108, 'neu': 0.827, 'pos': 0.064, 'compound': -0.516}",neu,0.064
12,"{'neg': 0.026, 'neu': 0.932, 'pos': 0.042, 'compound': 0.2909}",neu,0.042
13,"{'neg': 0.028, 'neu': 0.956, 'pos': 0.015, 'compound': -0.1877}",neu,0.015
14,"{'neg': 0.116, 'neu': 0.827, 'pos': 0.056, 'compound': -0.6759}",neu,0.056
15,"{'neg': 0.056, 'neu': 0.855, 'pos': 0.089, 'compound': 0.5785}",neu,0.089
16,"{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.3182}",neu,0.108
17,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.4522}",neu,0.148
18,"{'neg': 0.0, 'neu': 0.976, 'pos': 0.024, 'compound': 0.0387}",neu,0.024
19,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
20,"{'neg': 0.085, 'neu': 0.915, 'pos': 0.0, 'compound': -0.4019}",neu,0.0
21,"{'neg': 0.059, 'neu': 0.921, 'pos': 0.02, 'compound': -0.3818}",neu,0.02
22,"{'neg': 0.061, 'neu': 0.883, 'pos': 0.057, 'compound': -0.0772}",neu,0.057
23,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.9476}",neu,0.276
24,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
25,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",pos,1.0
26,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
27,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.4939}",neu,0.116
28,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
29,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
