Thread,Sentiment Scores,Label,Positive Score
1,"{'neg': 0.028, 'neu': 0.936, 'pos': 0.035, 'compound': 0.1027}",neu,0.035
2,"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}",neu,0.0
3,"{'neg': 0.024, 'neu': 0.964, 'pos': 0.012, 'compound': -0.3551}",neu,0.012
4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
5,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.5423}",neu,0.153
6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
8,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.4215}",neu,0.189
9,"{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.4329}",neu,0.052
10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
12,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4019}",neu,0.124
13,"{'neg': 0.188, 'neu': 0.602, 'pos': 0.211, 'compound': 0.0772}",neu,0.211
14,"{'neg': 0.027, 'neu': 0.932, 'pos': 0.041, 'compound': 0.2148}",neu,0.041
15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
16,"{'neg': 0.112, 'neu': 0.756, 'pos': 0.133, 'compound': -0.2755}",neu,0.133
17,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
18,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.8205}",neu,0.219
19,"{'neg': 0.071, 'neu': 0.765, 'pos': 0.165, 'compound': 0.4939}",neu,0.165
20,"{'neg': 0.0, 'neu': 0.983, 'pos': 0.017, 'compound': 0.0772}",neu,0.017
21,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}",neu,0.0
22,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
23,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.3612}",neu,0.143
24,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}",pos,0.583
25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
26,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}",pos,0.583
27,"{'neg': 0.031, 'neu': 0.846, 'pos': 0.124, 'compound': 0.8398}",neu,0.124
28,"{'neg': 0.07, 'neu': 0.737, 'pos': 0.193, 'compound': 0.7579}",neu,0.193
29,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.8885}",neu,0.178
30,"{'neg': 0.045, 'neu': 0.88, 'pos': 0.075, 'compound': 0.296}",neu,0.075
31,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.3612}",neu,0.098
32,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.296}",neu,0.268
33,"{'neg': 0.071, 'neu': 0.885, 'pos': 0.044, 'compound': 0.1615}",neu,0.044
34,"{'neg': 0.132, 'neu': 0.868, 'pos': 0.0, 'compound': -0.782}",neu,0.0
35,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.3612}",neu,0.263
36,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
37,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
38,"{'neg': 0.0, 'neu': 0.946, 'pos': 0.054, 'compound': 0.3182}",neu,0.054
39,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
40,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.0772}",neu,0.157
41,"{'neg': 0.0, 'neu': 0.928, 'pos': 0.072, 'compound': 0.7777}",neu,0.072
42,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.4767}",neu,0.0
43,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
44,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
45,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
46,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.9527}",neu,0.291
47,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
48,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.6908}",neu,0.153
49,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
50,"{'neg': 0.085, 'neu': 0.668, 'pos': 0.247, 'compound': 0.6284}",neu,0.247
51,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.6369}",neu,0.219
52,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
53,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
54,"{'neg': 0.275, 'neu': 0.725, 'pos': 0.0, 'compound': -0.875}",neu,0.0
55,"{'neg': 0.146, 'neu': 0.798, 'pos': 0.056, 'compound': -0.7538}",neu,0.056
56,"{'neg': 0.0, 'neu': 0.923, 'pos': 0.077, 'compound': 0.4767}",neu,0.077
57,"{'neg': 0.052, 'neu': 0.778, 'pos': 0.171, 'compound': 0.8382}",neu,0.171
